,YR_MO,CALL_DATE,AGENT_KEY,CALLS,HANDLE_TIME,CALL_REGEN,CALLS_WITH_OFFER,CALLS_WITH_ACCEPT,CALLS_OFFER_APPLIED,TRANSFERS,EFF_DT,TERM_DT,AGENT_ID,AGENT_NAME,TEAM_LEAD_ID,TEAM_LEAD_NAME,CALL_CENTER
29,201707,2017-07-16,12465,37,24426,6,35,31,22,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
30,201707,2017-07-17,12465,34,24398,4,34,25,22,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
31,201707,2017-07-18,12465,32,25860,5,30,24,22,1,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
32,201707,2017-07-20,12465,33,25283,6,30,26,18,1,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
33,201707,2017-07-24,12465,33,25504,6,30,23,16,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
34,201707,2017-07-25,12465,34,25686,4,31,24,18,1,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
35,201707,2017-07-27,12465,32,25441,6,30,26,23,1,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
36,201707,2017-07-28,12465,39,25858,7,38,33,25,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
37,201707,2017-07-30,12465,39,25577,4,39,30,21,1,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
38,201707,2017-07-31,12465,32,25559,3,30,22,18,1,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
39,201708,2017-08-01,12465,38,24945,4,35,25,20,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
40,201708,2017-08-03,12465,32,25850,4,29,21,17,1,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
41,201708,2017-08-04,12465,39,25299,6,35,32,24,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
42,201708,2017-08-06,12465,39,24317,7,39,27,24,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
43,201708,2017-08-07,12465,40,25259,8,39,29,21,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
44,201708,2017-08-08,12465,39,24062,7,37,32,26,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
45,201708,2017-08-10,12465,40,24313,8,39,32,24,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
46,201708,2017-08-11,12465,38,25178,7,36,26,23,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
47,201708,2017-08-13,12465,38,24414,4,38,32,27,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
48,201708,2017-08-14,12465,40,25331,8,36,30,24,1,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
49,201708,2017-08-15,12465,39,24401,5,35,29,21,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
50,201708,2017-08-17,12465,36,25813,5,36,32,29,1,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
51,201708,2017-08-18,12465,38,24806,6,36,26,23,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
52,201708,2017-08-20,12465,35,25255,6,34,29,26,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
53,201708,2017-08-21,12465,39,24779,8,37,33,24,1,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
54,201708,2017-08-22,12465,36,24991,7,33,24,19,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
55,201708,2017-08-27,12465,34,25078,7,31,25,19,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
56,201708,2017-08-28,12465,32,24105,6,32,22,16,1,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
57,201708,2017-08-29,12465,39,25000,4,36,32,26,1,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
58,201708,2017-08-31,12465,40,24942,5,39,28,20,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
59,201706,2017-06-01,12466,35,25039,4,34,29,26,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
60,201706,2017-06-02,12466,35,24330,4,33,30,22,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
61,201706,2017-06-04,12466,39,24035,5,37,28,20,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
62,201706,2017-06-05,12466,40,24176,4,40,32,25,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
63,201706,2017-06-06,12466,35,24278,6,33,24,18,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
64,201706,2017-06-08,12466,32,25209,4,30,22,19,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
65,201706,2017-06-09,12466,32,25552,3,29,21,19,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
66,201706,2017-06-11,12466,39,25873,8,36,26,20,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
67,201706,2017-06-12,12466,35,24333,5,35,27,23,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
68,201706,2017-06-13,12466,32,24358,5,29,23,20,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
69,201706,2017-06-15,12466,38,24384,5,36,27,23,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
70,201706,2017-06-16,12466,37,24072,6,36,31,23,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
71,201706,2017-06-18,12466,36,24803,6,34,28,20,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
72,201706,2017-06-19,12466,34,25965,5,34,24,18,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
73,201706,2017-06-20,12466,33,25500,5,31,26,22,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
74,201706,2017-06-22,12466,37,24909,7,36,27,23,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
75,201706,2017-06-23,12466,38,25830,6,36,32,26,3,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
76,201706,2017-06-25,12466,32,24993,6,31,26,23,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
77,201706,2017-06-26,12466,32,25420,4,31,28,21,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
78,201706,2017-06-27,12466,40,25255,6,38,33,24,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
79,201706,2017-06-29,12466,33,25013,4,30,24,19,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
80,201706,2017-06-30,12466,39,25333,6,38,27,20,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
81,201707,2017-07-02,12466,33,24550,4,32,26,22,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
82,201707,2017-07-03,12466,36,24078,4,33,24,20,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
83,201707,2017-07-06,12466,33,25485,6,32,24,18,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
84,201707,2017-07-07,12466,34,24992,5,31,22,19,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
85,201707,2017-07-09,12466,34,25978,6,33,24,21,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
86,201707,2017-07-10,12466,40,25955,6,37,28,25,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
87,201707,2017-07-11,12466,38,25169,7,38,31,24,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
88,201707,2017-07-13,12466,37,25788,4,35,30,24,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
89,201707,2017-07-14,12466,38,25504,4,36,28,24,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
90,201707,2017-07-16,12466,40,24265,6,36,26,21,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
91,201707,2017-07-17,12466,40,24689,5,39,31,24,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
92,201707,2017-07-18,12466,36,24752,6,35,25,19,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
93,201707,2017-07-20,12466,35,25720,5,34,30,25,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
94,201707,2017-07-21,12466,32,24939,5,32,26,22,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
95,201707,2017-07-23,12466,40,24999,7,38,34,27,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
96,201707,2017-07-24,12466,33,24625,4,30,25,19,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
97,201707,2017-07-25,12466,38,24635,7,37,29,26,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
98,201707,2017-07-27,12466,36,25091,6,34,27,23,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
99,201707,2017-07-28,12466,38,25976,5,37,30,24,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
100,201707,2017-07-30,12466,36,24826,6,32,28,24,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
101,201707,2017-07-31,12466,34,24104,5,33,26,21,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
102,201708,2017-08-01,12466,35,24509,4,32,28,25,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
103,201708,2017-08-03,12466,33,25588,6,30,22,16,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
104,201708,2017-08-04,12466,40,24589,4,39,28,20,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
105,201708,2017-08-06,12466,35,24498,5,35,31,27,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
106,201708,2017-08-07,12466,39,24021,5,38,27,20,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
107,201708,2017-08-08,12466,39,24485,4,36,32,25,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
108,201708,2017-08-10,12466,35,25705,5,35,32,23,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
109,201708,2017-08-11,12466,32,25414,4,30,22,18,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
110,201708,2017-08-13,12466,36,25221,5,32,29,22,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
111,201708,2017-08-14,12466,38,25878,8,36,27,24,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
112,201708,2017-08-15,12466,32,25336,5,29,26,23,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
113,201708,2017-08-17,12466,38,24236,5,36,28,20,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
114,201708,2017-08-18,12466,34,24023,6,32,29,23,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
115,201708,2017-08-20,12466,33,24791,6,30,26,19,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
116,201708,2017-08-21,12466,35,25598,4,32,28,24,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
117,201708,2017-08-22,12466,38,25518,7,38,33,26,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
118,201708,2017-08-24,12466,39,24660,5,38,27,22,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
119,201708,2017-08-25,12466,37,25917,7,36,27,24,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
120,201708,2017-08-27,12466,40,24597,5,38,27,24,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
121,201708,2017-08-28,12466,38,24747,6,36,26,20,2,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
122,201708,2017-08-29,12466,39,24668,7,36,30,24,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
123,201708,2017-08-31,12466,38,25348,5,37,29,21,1,2017-05-01,2020-12-31,201700122,"Binning, Bart",201700011,"Winnerson, Aceona",Williamburg
124,201706,2017-06-01,12467,38,24436,6,36,32,28,3,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
125,201706,2017-06-02,12467,34,24415,5,31,27,20,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
126,201706,2017-06-04,12467,32,25637,4,31,26,21,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
127,201706,2017-06-05,12467,39,25574,4,38,33,26,3,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
128,201706,2017-06-06,12467,32,25467,4,30,22,18,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
129,201706,2017-06-08,12467,37,25358,6,37,33,29,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
130,201706,2017-06-09,12467,36,25843,6,33,25,18,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
131,201706,2017-06-11,12467,33,25916,6,33,28,22,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
132,201706,2017-06-12,12467,32,25052,4,29,25,20,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
133,201706,2017-06-13,12467,39,25627,8,39,28,24,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
134,201706,2017-06-15,12467,33,24242,4,31,22,17,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
135,201706,2017-06-16,12467,33,24745,6,33,29,23,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
136,201706,2017-06-18,12467,35,24704,7,34,30,27,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
137,201706,2017-06-19,12467,37,25987,5,35,30,27,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
138,201706,2017-06-20,12467,36,24117,4,34,24,21,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
139,201706,2017-06-22,12467,37,24967,6,36,28,23,3,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
140,201706,2017-06-23,12467,40,24117,5,39,34,25,3,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
141,201706,2017-06-25,12467,36,24623,4,36,30,24,3,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
142,201706,2017-06-26,12467,38,24943,6,36,29,20,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
143,201706,2017-06-27,12467,38,24657,7,36,32,29,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
144,201706,2017-06-29,12467,33,25364,7,32,25,19,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
145,201706,2017-06-30,12467,36,24107,5,33,29,22,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
146,201707,2017-07-02,12467,39,25341,4,35,26,19,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
147,201707,2017-07-03,12467,32,25159,4,32,27,22,1,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
148,201707,2017-07-06,12467,32,24431,4,30,26,20,1,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
149,201707,2017-07-07,12467,32,24123,5,31,22,17,1,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
150,201707,2017-07-09,12467,34,25520,4,31,22,17,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
151,201707,2017-07-10,12467,36,25795,6,36,32,23,1,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
152,201707,2017-07-11,12467,39,24836,7,39,28,24,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
153,201707,2017-07-13,12467,34,24780,5,31,28,23,1,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
154,201707,2017-07-14,12467,37,24300,7,36,30,24,1,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
155,201707,2017-07-16,12467,34,25005,4,33,29,24,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
156,201707,2017-07-17,12467,34,24250,5,34,27,21,1,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
157,201707,2017-07-18,12467,39,24826,4,39,35,28,1,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
158,201707,2017-07-20,12467,34,24788,4,31,27,22,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
159,201707,2017-07-21,12467,33,25082,7,33,25,22,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
160,201707,2017-07-23,12467,34,25337,6,31,26,21,1,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
161,201707,2017-07-24,12467,40,25648,5,40,35,25,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
162,201707,2017-07-25,12467,35,24044,5,32,25,21,1,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
163,201707,2017-07-27,12467,32,24421,6,30,21,17,1,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
164,201707,2017-07-28,12467,35,24450,6,35,29,20,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
165,201707,2017-07-30,12467,35,24238,4,33,25,20,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
166,201707,2017-07-31,12467,35,25838,4,33,28,25,1,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
167,201708,2017-08-01,12467,36,25982,7,33,25,18,1,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
168,201708,2017-08-03,12467,36,24646,6,33,27,20,1,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
169,201708,2017-08-04,12467,33,24973,3,32,28,25,1,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
170,201708,2017-08-06,12467,38,24704,6,37,26,19,2,2017-05-01,2020-12-31,201700123,"Centerville, Cece",201700011,"Winnerson, Aceona",Williamburg
